properties.InterZone,x,y
S02001464,-2.9352188191781345,56.48080143377525
S02001465,-2.9689728468090166,56.48583121746071
S02001466,-2.9868122202386704,56.49297173195586
S02001467,-3.002257331994033,56.49131791235688
S02001468,-2.995333582582532,56.4796000999272
S02001469,-2.991931018210138,56.47227956056235
S02001470,-3.0142176989151923,56.46687306155835
S02001471,-3.038145017770278,56.46667833960499
S02001472,-3.038249539707606,56.47482093339238
S02001473,-3.017976027270373,56.47457124354992
S02001474,-3.016173305282134,56.48744792592319
S02001475,-3.055445064774892,56.479577036558176
S02001476,-4.3750927863958005,55.30289354596073
S02001477,-4.516893258318391,55.380755621078144
S02001478,-4.403406380580885,55.45279287727269
S02001479,-4.461611638652238,55.435029518143
S02001480,-4.379424898305838,55.51472703067418
S02001481,-4.172646784291871,55.45778039030932
S02001482,-4.173926149992004,55.397929867947994
S02001483,-4.255776788902886,55.446267083075966
S02001484,-4.268431302313964,55.4555585242575
S02001485,-4.301318562883151,55.47071987061976
S02001486,-4.386162389745709,55.65034328633754
S02001487,-4.510076422634856,55.682039284302554
S02001488,-4.523315868755917,55.681728921986945
S02001489,-4.2814079768150854,55.61085380193648
S02001490,-4.330366173648245,55.606452900732286
S02001491,-4.381642855125478,55.598987442339954
S02001492,-4.45537128303346,55.600565910258666
S02001493,-4.497933384907574,55.585168057919525
S02001494,-4.487555342664606,55.591895790086646
S02001495,-4.492395401063026,55.598329075514265
S02001496,-4.4846944359533945,55.60723908728433
S02001497,-4.47860423872767,55.61328281205171
S02001498,-4.4747438452828705,55.620924815670385
S02001499,-4.484417355725269,55.63223801183601
S02001500,-4.499820021721744,55.62724846911052
S02001501,-4.500235368238612,55.61833140765931
S02001502,-4.50732850321011,55.6112067973542
S02001503,-4.518909031458394,55.60262649525324
S02001504,-4.536591910932845,55.625078641236584
S02001505,-4.529898754510939,55.63919498844482
S02001506,-4.368516913934461,55.952327388235396
S02001507,-4.32556785248815,55.95222966889465
S02001508,-4.312839834376787,55.945712080547985
S02001509,-4.287834881240877,55.940141503922774
S02001510,-4.320626662084455,55.927583171453506
S02001511,-4.333364534847646,55.92540910680759
S02001512,-4.3515597258932806,55.93113205703361
S02001513,-4.344556432392148,55.92019400965475
S02001514,-4.341021550565706,55.909760379700096
S02001515,-4.32805603503109,55.90636957969468
S02001516,-4.320588512251846,55.91656681016181
S02001517,-4.3116393602787895,55.91281061646255
S02001518,-4.234387047405825,55.93550983736683
S02001519,-4.226205366770582,55.914581023985555
S02001520,-4.2228879546163185,55.91022721879863
S02001521,-4.206748920017728,55.90149126744624
S02001522,-4.2017057089686665,55.90315014236479
S02001523,-4.206885812928449,55.90721162875571
S02001524,-4.179397672723899,55.92431768847595
S02001525,-4.14697468466584,55.91936449451313
S02001526,-4.144440881211999,55.93115563137001
