date,anomaly
1933-10-01,-0.246
1933-11-01,-0.405
1933-12-01,-0.514
1934-01-01,-0.323
1934-02-01,-0.145
1934-03-01,-0.431
1934-04-01,-0.372
1934-05-01,-0.140
1934-06-01,-0.092
1934-07-01,-0.178
1934-08-01,-0.114
1934-09-01,-0.135
1934-10-01,-0.082
1934-11-01,0.032
1934-12-01,-0.111
1935-01-01,-0.348
1935-02-01,0.050
1935-03-01,-0.215
1935-04-01,-0.323
1935-05-01,-0.314
1935-06-01,-0.209
1935-07-01,-0.141
1935-08-01,-0.149
1935-09-01,-0.191
1935-10-01,-0.055
1935-11-01,-0.322
1935-12-01,-0.257
1936-01-01,-0.399
1936-02-01,-0.343
1936-03-01,-0.329
1936-04-01,-0.188
1936-05-01,-0.172
1936-06-01,-0.149
1936-07-01,-0.070
1936-08-01,-0.073
1936-09-01,-0.109
1936-10-01,-0.041
1936-11-01,-0.054
1936-12-01,-0.106
1937-01-01,-0.127
1937-02-01,0.067
1937-03-01,-0.262
1937-04-01,-0.121
1937-05-01,-0.091
1937-06-01,-0.008
1937-07-01,0.020
1937-08-01,0.037
1937-09-01,0.145
1937-10-01,0.128
1937-11-01,0.062
1937-12-01,-0.078
1938-01-01,0.046
1938-02-01,-0.010
1938-03-01,-0.015
1938-04-01,0.040
1938-05-01,-0.096
1938-06-01,-0.094
1938-07-01,-0.046
1938-08-01,-0.003
1938-09-01,0.020
1938-10-01,0.163
1938-11-01,0.055
1938-12-01,-0.206
1939-01-01,-0.122
1939-02-01,-0.118
1939-03-01,-0.289
1939-04-01,-0.106
1939-05-01,-0.030
1939-06-01,0.015
1939-07-01,-0.038
1939-08-01,-0.041
1939-09-01,-0.017
1939-10-01,-0.099
1939-11-01,0.021
1939-12-01,0.334
1940-01-01,-0.053
1940-02-01,0.086
1940-03-01,-0.036
1940-04-01,0.149
1940-05-01,0.050
1940-06-01,0.045
1940-07-01,0.148
1940-08-01,0.100
1940-09-01,0.131
1940-10-01,0.096
1940-11-01,-0.005
1940-12-01,0.199
1941-01-01,-0.040
1941-02-01,0.118
1941-03-01,-0.117
1941-04-01,0.036
1941-05-01,0.061
1941-06-01,0.060
1941-07-01,0.161
1941-08-01,0.040
1941-09-01,-0.145
1941-10-01,0.214
1941-11-01,-0.007
1941-12-01,0.075
1942-01-01,0.258
1942-02-01,0.017
1942-03-01,-0.042
1942-04-01,-0.015
1942-05-01,0.124
1942-06-01,0.030
1942-07-01,-0.060
1942-08-01,-0.057
1942-09-01,-0.014
1942-10-01,-0.087
1942-11-01,-0.058
1942-12-01,-0.080
1943-01-01,-0.183
1943-02-01,-0.031
1943-03-01,-0.168
1943-04-01,0.023
1943-05-01,0.036
1943-06-01,-0.075
1943-07-01,0.018
1943-08-01,0.032
1943-09-01,-0.013
1943-10-01,0.228
1943-11-01,0.104
1943-12-01,0.106
1944-01-01,0.318
1944-02-01,0.119
1944-03-01,0.120
1944-04-01,0.042
1944-05-01,0.120
1944-06-01,0.107
1944-07-01,0.149
1944-08-01,0.207
1944-09-01,0.168
1944-10-01,0.208
1944-11-01,0.089
1944-12-01,0.083
1945-01-01,0.095
1945-02-01,0.048
1945-03-01,0.039
1945-04-01,0.210
1945-05-01,-0.062
