formOfNode,longitude,latitude
junction,-3.191,52.780
junction,-3.217,52.780
junction,-3.192,52.781
source,-3.200,52.783
source,-3.193,52.784
source,-3.266,52.784
source,-3.230,52.788
source,-3.265,52.789
source,-3.200,52.796
source,-3.223,52.800
source,-3.196,52.804
junction,-3.196,52.804
junction,-3.201,52.805
junction,-3.223,52.805
source,-3.226,52.806
junction,-3.226,52.806
source,-3.263,52.806
junction,-3.236,52.808
junction,-3.180,52.778
source,-3.179,52.786
junction,-3.179,52.835
junction,-3.169,52.804
junction,-3.168,52.840
source,-3.165,52.803
junction,-3.163,52.802
junction,-3.161,52.804
source,-3.162,52.840
source,-3.149,52.786
junction,-3.127,52.779
junction,-3.124,52.778
junction,-3.147,52.767
junction,-3.119,52.768
junction,-3.118,52.769
junction,-3.125,52.769
source,-3.126,52.769
source,-3.119,52.769
junction,-3.121,52.770
junction,-3.117,52.770
junction,-3.123,52.770
source,-3.117,52.771
source,-3.123,52.771
source,-3.126,52.771
source,-3.108,52.772
junction,-3.108,52.772
source,-3.108,52.772
outlet,-3.108,52.774
junction,-3.147,52.774
source,-3.107,52.775
junction,-3.193,52.732
source,-3.132,52.733
junction,-3.192,52.734
junction,-3.129,52.736
junction,-3.120,52.738
junction,-3.128,52.738
source,-3.106,52.738
source,-3.132,52.741
junction,-3.190,52.742
source,-3.180,52.742
junction,-3.182,52.744
source,-3.158,52.747
junction,-3.170,52.750
source,-3.129,52.751
source,-3.142,52.751
junction,-3.174,52.754
source,-3.182,52.757
junction,-3.175,52.758
source,-3.112,52.761
source,-3.144,52.764
source,-3.125,52.765
junction,-3.106,52.769
junction,-3.104,52.739
junction,-3.093,52.767
source,-3.092,52.757
source,-3.092,52.739
source,-3.092,52.764
junction,-3.092,52.764
source,-3.091,52.751
junction,-3.090,52.751
junction,-3.084,52.733
junction,-3.084,52.751
source,-3.084,52.752
junction,-3.077,52.733
junction,-3.075,52.743
junction,-3.070,52.734
source,-3.068,52.736
junction,-3.063,52.735
source,-3.063,52.742
junction,-3.061,52.737
junction,-3.050,52.742
junction,-3.042,52.735
source,-3.042,52.733
source,-3.040,52.731
source,-3.040,52.754
junction,-3.040,52.755
junction,-3.035,52.738
junction,-3.033,52.767
source,-3.029,52.740
junction,-3.028,52.755
source,-3.027,52.738
junction,-3.026,52.735
junction,-3.024,52.737
source,-3.024,52.758
junction,-3.023,52.738
junction,-3.022,52.753
junction,-3.014,52.737
source,-3.010,52.742
junction,-3.000,52.738
junction,-3.350,52.750
source,-3.349,52.758
source,-3.347,52.767
source,-3.344,52.721
junction,-3.343,52.763
source,-3.342,52.773
junction,-3.340,52.759
source,-3.338,52.765
source,-3.334,52.742
source,-3.329,52.730
junction,-3.329,52.730
junction,-3.329,52.754
junction,-3.326,52.732
source,-3.320,52.736
source,-3.320,52.774
source,-3.305,52.773
source,-3.303,52.730
source,-3.303,52.743
junction,-3.295,52.728
source,-3.295,52.722
junction,-3.295,52.773
source,-3.294,52.757
junction,-3.286,52.737
junction,-3.286,52.771
source,-3.272,52.751
junction,-3.270,52.766
junction,-3.270,52.766
source,-3.257,52.729
junction,-3.253,52.760
source,-3.246,52.767
source,-3.243,52.735
junction,-3.238,52.761
junction,-3.233,52.717
source,-3.232,52.730
source,-3.231,52.731
junction,-3.230,52.731
source,-3.230,52.774
junction,-3.218,52.726
junction,-3.219,52.772
junction,-3.213,52.725
source,-3.213,52.725
junction,-3.214,52.760
source,-3.213,52.759
source,-3.210,52.733
junction,-3.207,52.727
source,-3.199,52.730
junction,-3.107,52.716
source,-3.107,52.725
junction,-3.107,52.714
junction,-3.107,52.725
source,-3.106,52.711
junction,-3.105,52.723
outlet,-3.102,52.697
source,-3.102,52.697
junction,-3.102,52.694
source,-3.101,52.700
source,-3.102,52.730
outlet,-3.100,52.702
source,-3.100,52.705
source,-3.099,52.722
junction,-3.097,52.698
outlet,-3.096,52.709
source,-3.096,52.709
junction,-3.094,52.729
junction,-3.094,52.729
source,-3.091,52.729
junction,-3.090,52.695
source,-3.089,52.712
junction,-3.198,52.730
source,-3.197,52.713
junction,-3.194,52.688
source,-3.193,52.720
source,-3.177,52.729
junction,-3.173,52.694
source,-3.172,52.688
source,-3.169,52.688
junction,-3.168,52.688
junction,-3.152,52.691
junction,-3.151,52.701
source,-3.146,52.727
junction,-3.134,52.706
source,-3.131,52.710
source,-3.126,52.689
outlet,-3.125,52.716
junction,-3.123,52.710
source,-3.123,52.716
source,-3.114,52.723
junction,-3.112,52.712
source,-3.109,52.715
outlet,-3.109,52.724
junction,-3.108,52.713
source,-3.107,52.692
junction,-3.088,52.700
