longitude,latitude,region
-2.2152317,52.88475,4.0
-2.1254013,52.45787,4.0
-1.710283,52.167255,4.0
-0.12929338,51.439693,2.0
-2.3499873,53.446674,3.0
-2.2984195,51.745415,10.0
-0.34115967,51.732075,9.0
-4.8756366,50.374752,10.0
-2.7102637,53.47819,3.0
-2.7457757,53.41953,3.0
1.4758408,52.19124,9.0
-1.3839192,54.901695,7.0
-0.68349075,51.328968,6.0
-0.21261962,51.36745,2.0
-1.8129481,52.557537,4.0
-3.914738,51.65485,8.0
-3.9808693,51.616787,8.0
-1.7434714,52.64896,4.0
-2.3927722,53.30058,3.0
-3.1535084,51.008602,10.0
-2.45125,52.66758,4.0
-2.0646946,51.944763,10.0
-1.9199988,51.803665,10.0
-2.4484403,52.719555,4.0
-0.932202,54.200546,5.0
-2.4324481,51.55597,10.0
0.30189994,51.492786,9.0
-3.265393,50.86238,10.0
0.2559214,51.233112,6.0
-0.16543975,51.435364,2.0
-3.5209448,50.445415,10.0
-3.0550792,51.704853,8.0
-3.7271776,50.36999,10.0
-0.07875499,51.590126,2.0
0.39332047,51.121315,6.0
-0.34768936,51.42893,2.0
-1.4865998,55.03724,7.0
-0.43933234,51.54679,2.0
-3.412844,53.24736,8.0
-3.414224,51.445038,8.0
-0.12094382,51.477985,2.0
-1.5508256,53.650852,5.0
-3.0709717,53.423904,3.0
-2.0232537,52.60369,4.0
-1.9731581,52.57122,4.0
-0.028675279,51.58542,2.0
-1.6364105,55.171432,7.0
-1.4151667,51.61461,6.0
-1.9947399,52.488323,4.0
-2.5603447,53.42152,3.0
-2.577521,53.369835,3.0
-1.5870324,52.264618,4.0
-1.4938132,54.90682,7.0
-0.40237126,51.6631,9.0
1.5749018,52.442738,9.0
0.16667971,51.01642,6.0
-2.6628478,53.28672,3.0
-0.66549075,52.29252,1.0
-2.7531807,51.233486,10.0
-0.20401105,51.777912,9.0
-1.3383497,53.484367,5.0
-0.17991193,51.52475,2.0
-2.7937844,54.304386,3.0
-1.978547,52.534363,4.0
-2.0399137,52.526947,4.0
-2.5860002,50.791286,10.0
