code,label,lng,lat,easting,northing,population,households,populationDensity
E07000211,Reigate and Banstead,-0.1918,51.2533,526286,152009,150852,59849,1168.1
E07000212,Runnymede,-0.5408,51.3933,501617,167042,88085,34838,1128.6
E07000213,Spelthorne,-0.4675,51.4244,506652,170605,102953,41805,2293.9
E07000214,Surrey Heath,-0.6712,51.3433,492648,161313,90460,36008,951.2
E07000215,Tandridge,-0.0435,51.2270,536712,149345,87878,35623,354.1
E07000216,Waverley,-0.6335,51.1501,495682,139877,128231,52448,371.5
E07000217,Woking,-0.5605,51.3145,500423,158249,103940,41437,1634.4
E07000218,North Warwickshire,-1.6276,52.5471,425346,294421,65035,27580,228.8
E07000219,Nuneaton and Bedworth,-1.4755,52.5011,435701,289373,134204,56586,1699.7
E07000220,Rugby,-1.3282,52.3845,445826,276476,114366,47013,325.7
E07000221,Stratford-on-Avon,-1.6226,52.1786,425910,253437,134727,59464,137.8
E07000222,Warwick,-1.5832,52.3102,428512,268090,148452,62619,524.8
E07000223,Adur,-0.2990,50.8438,519857,106296,64547,27678,1534.4
E07000224,Arun,-0.5680,50.8406,500922,105536,164896,72661,746.1
E07000225,Chichester,-0.7425,50.9373,488437,116059,124068,54118,157.8
E07000226,Crawley,-0.1821,51.1256,527313,137822,118495,45502,2634.9
E07000227,Horsham,-0.3670,50.9934,514696,122819,146776,62370,276.8
E07000228,Mid Sussex,-0.1274,51.0205,531427,126224,152570,63349,456.8
E07000229,Worthing,-0.3963,50.8287,513043,104470,111338,49538,3423.7
E07000234,Bromsgrove,-2.0167,52.3622,398961,273791,99186,41266,457.1
E07000235,Malvern Hills,-2.3462,52.1831,376452,253907,79483,34892,137.7
E07000236,Redditch,-1.9512,52.2823,403427,264902,87034,36378,1604.4
E07000237,Worcester,-2.2109,52.1963,385680,255359,103866,44722,3121.4
E07000238,Wychavon,-2.0512,52.1650,396608,251844,132495,57356,199.7
E07000239,Wyre Forest,-2.2756,52.3796,381336,275771,101609,45320,520
E07000240,St Albans,-0.3428,51.7724,514441,209482,148173,58991,919.3
E07000241,Welwyn Hatfield,-0.1944,51.7677,524698,209206,119839,46209,925
E07000242,East Hertfordshire,-0.0087,51.8650,537205,220364,150160,62021,315.7
E07000243,Stevenage,-0.1908,51.9053,524559,224521,89501,36511,3444.8
E07000244,East Suffolk,1.4622,52.2372,636456,265500,246055,110747,195.1
E07000245,West Suffolk,0.6219,52.2778,578957,267629,179951,78746,173.9
E07000246,Somerset West and Taunton,-3.3628,51.0868,304672,132836,157448,69986,132.6
E08000001,Bolton,-2.4669,53.5786,369187,409211,295961,118790,2117
E08000002,Bury,-2.3122,53.5876,379434,410155,193851,80696,1948.6
E08000003,Manchester,-2.2326,53.4509,384645,394923,551943,214732,4772.7
E08000004,Oldham,-2.0517,53.5520,396668,406152,242081,93140,1700.5
E08000005,Rochdale,-2.1580,53.6164,389646,413331,223775,90223,1415.6
E08000006,Salford,-2.3706,53.4896,375503,399266,269927,115116,2777.2
E08000007,Stockport,-2.1281,53.3938,391577,388561,294776,126648,2338.3
E08000008,Tameside,-2.0626,53.4778,395938,397900,231063,99527,2239.7
E08000009,Trafford,-2.3546,53.4194,376532,391465,235063,96269,2216.7
E08000010,Wigan,-2.5893,53.5244,361033,403243,329329,143105,1750
E08000011,Knowsley,-2.8338,53.4258,344694,392430,154523,66073,1787
E08000012,Liverpool,-2.9168,53.3956,339133,389144,486093,207491,4346.1
E08000013,St. Helens,-2.7226,53.4595,352124,396102,183245,81011,1343.6
E08000014,Sefton,-3.0154,53.5660,332846,408176,279231,123073,1783.4
E08000015,Wirral,-3.0925,53.3683,327405,386273,320199,143252,1989.7
E08000016,Barnsley,-1.5324,53.5359,431083,404470,244576,108053,743.3
E08000017,Doncaster,-1.0953,53.5444,460041,405684,308108,133482,542.4
E08000018,Rotherham,-1.2862,53.4090,447556,390471,265806,113925,927.7
E08000019,Sheffield,-1.5502,53.4042,430011,389797,556519,231950,1512.5
E08000021,Newcastle upon Tyne,-1.6578,55.0078,421988,568195,300131,122797,2646.1
E08000022,North Tyneside,-1.5176,55.0281,430940,570503,208952,96232,2538.6
E08000023,South Tyneside,-1.4437,54.9635,435717,563346,147777,68287,2294.2
E08000024,Sunderland,-1.4522,54.8805,435242,554109,274166,122177,1994.6
E08000025,Birmingham,-1.8744,52.4885,408620,287849,1144916,423456,4275.4
E08000026,Coventry,-1.5202,52.4174,432736,280037,345328,134139,3500.7
E08000027,Dudley,-2.1081,52.4831,392753,287253,323495,137069,3302.4
E08000028,Sandwell,-2.0085,52.5158,399516,290879,341835,130246,3994.9
E08000029,Solihull,-1.7278,52.4128,418611,279457,216236,89483,1212.9
E08000030,Walsall,-1.9665,52.5992,402370,300150,284130,112226,2733.1
E08000031,Wolverhampton,-2.1206,52.5890,391927,299026,263730,105141,3797.9
E08000032,Bradford,-1.8548,53.8448,409656,438737,546409,209867,1491.2
E08000033,Calderdale,-1.9738,53.7212,401827,424977,206627,90476,567.8
E08000034,Kirklees,-1.7633,53.6274,415745,414567,433222,177989,1060.3
E08000035,Leeds,-1.5059,53.8256,432624,436701,811950,341466,1471.7
E08000036,Wakefield,-1.4115,53.6607,438985,418409,353375,153075,1043.6
E08000037,Gateshead,-1.6837,54.9354,420364,560133,196144,88999,1378
E09000001,City of London,-0.0914,51.5139,532539,181164,8579,4914,2975
E09000002,Barking and Dagenham,0.1337,51.5438,548056,184924,218863,73902,6065.8
E09000003,Barnet,-0.2091,51.6160,524095,192314,389340,148917,4488.7
E09000004,Bexley,0.1428,51.4609,548955,175730,246473,95300,4070.7
E09000005,Brent,-0.2676,51.5594,520189,185924,339818,118612,7859.6
E09000006,Bromley,0.0511,51.3721,542864,165667,329989,135827,2197.7
E09000007,Camden,-0.1565,51.5456,527931,184580,210134,92759,9640.9
E09000008,Croydon,-0.0870,51.3554,533300,163557,390718,152946,4516
E09000009,Ealing,-0.3303,51.5223,515931,181701,367122,133659,6611.6
E09000010,Enfield,-0.0874,51.6511,532411,196432,329986,120923,4082.5
E09000011,Greenwich,0.0555,51.4743,542847,177046,289067,114052,6108.6
E09000012,Hackney,-0.0637,51.5522,534348,185478,259148,106081,13593.3
E09000013,Hammersmith and Fulham,-0.2220,51.4956,523529,178905,183161,81244,11161.1
E09000014,Haringey,-0.1071,51.5901,531225,189614,264234,105092,8930.2
E09000015,Harrow,-0.3424,51.5982,514912,190121,261203,89642,5175.4
E09000016,Havering,0.2208,51.5631,554032,187245,262057,101277,2332.3
E09000017,Hillingdon,-0.4455,51.5409,507905,183585,305916,109228,2644
E09000018,Hounslow,-0.3660,51.4686,513589,175668,288181,102961,5148
E09000019,Islington,-0.1100,51.5487,531145,185005,216587,96496,14574.9
E09000020,Kensington and Chelsea,-0.1919,51.5006,525606,179504,143376,66884,11816.5
E09000021,Kingston upon Thames,-0.2865,51.3869,519327,166705,168064,65626,4512.1
E09000022,Lambeth,-0.1188,51.4543,530807,174499,317662,134688,11839.1
E09000023,Lewisham,-0.0201,51.4487,537676,174051,300554,122392,8551.5
E09000024,Merton,-0.1957,51.4103,525579,169458,215188,81729,5721.6
E09000025,Newham,0.0379,51.5269,541466,182855,351039,115507,9690.1
E09000026,Redbridge,0.0759,51.5851,543919,189405,310260,103713,5501.9
E09000027,Richmond upon Thames,-0.3126,51.4426,517367,172867,195278,80705,3401.9
E09000028,Southwark,-0.0745,51.4738,533829,176738,307641,130818,10659
E09000029,Sutton,-0.1777,51.3620,526964,164120,209640,82348,4781
E09000030,Tower Hamlets,-0.0342,51.5160,536495,181509,310303,120539,15702.9
E09000031,Waltham Forest,-0.0131,51.5938,537726,190195,278429,102901,7173.3
E09000032,Wandsworth,-0.1872,51.4523,526055,174145,327506,137393,9560
E09000033,Westminster,-0.1605,51.5135,527739,181005,204240,94815,9514.2
W06000001,Isle of Anglesey,-4.3747,53.2862,241795,379205,68875,30822,96.7
W06000002,Gwynedd,-4.0249,52.8950,263903,334963,117397,51105,46.3
W06000003,Conwy,-3.7358,53.1408,283987,361802,114741,52235,101.9
W06000004,Denbighshire,-3.3544,53.0917,309404,355776,95816,42387,114.5
W06000005,Flintshire,-3.1636,53.2183,322419,369649,154965,66911,352.3
W06000006,Wrexham,-3.0174,52.9903,331795,344142,135115,57914,268.2
W06000008,Ceredigion,-4.0725,52.2560,258574,263991,71468,30893,40
W06000009,Pembrokeshire,-4.8862,51.8537,201312,221152,123366,55488,76.2
W06000010,Carmarthenshire,-4.1632,51.8992,251227,224511,187895,81759,79.3
W06000011,Swansea,-4.0614,51.6414,257445,195641,238500,104962,631.5
W06000012,Neath Port Talbot,-3.7434,51.6800,279564,199348,142290,62375,322.5
W06000013,Bridgend,-3.6003,51.5560,289150,185340,145486,62360,580.1
W06000014,Vale of Glamorgan,-3.3999,51.4449,302809,172697,131935,57450,398.4
W06000015,Cardiff,-3.2006,51.5087,316778,179542,362301,147333,2571.3
W06000016,Rhondda Cynon Taf,-3.4362,51.6511,300745,195665,237651,103339,560.3
W06000018,Caerphilly,-3.2048,51.6531,316753,195610,175956,76257,634.2
W06000019,Blaenau Gwent,-3.1940,51.7664,317699,208201,66900,30340,615.1
W06000020,Torfaen,-3.0534,51.6991,327301,200555,92274,40241,734.4
W06000021,Monmouthshire,-2.8675,51.7579,340238,206911,92961,40923,109.5
W06000022,Newport,-2.9617,51.5738,333448,186541,159594,66054,838.1
W06000023,Powys,-3.4099,52.3256,303993,270454,133174,60182,25.7
W06000024,Merthyr Tydfil,-3.3607,51.7401,306153,205467,58847,25783,528.2
