code,label,cx,cy,pop,households,popDen,deprivation,deprivation4
E08000006,Salford,375503,399266,89345837,115116,2777.2,61659,297
E08000007,Stockport,391577,388561,97570856,126648,2338.3,61722,267
E08000008,Tameside,395938,397900,76481853,99527,2239.7,56548,312
E08000009,Trafford,376532,391465,77805853,96269,2216.7,44384,136
E08000010,Wigan,361033,403243,109007899,143105,1750,76487,252
E08000011,Knowsley,344694,392430,51147113,66073,1787,39121,203
E08000012,Liverpool,339133,389144,160896783,207491,4346.1,121227,673
E08000013,St. Helens,352124,396102,60654095,81011,1343.6,45220,137
E08000014,Sefton,332846,408176,92425461,123073,1783.4,67405,275
E08000015,Wirral,327405,386273,105985869,143252,1989.7,77722,298
E08000016,Barnsley,431083,404470,80954656,108053,743.3,61815,239
E08000017,Doncaster,460041,405684,101983748,133482,542.4,75088,253
E08000018,Rotherham,447556,390471,87981786,113925,927.7,64272,224
E08000019,Sheffield,430011,389797,184207789,231950,1512.5,126712,639
E08000021,Newcastle upon Tyne,421988,568195,99343361,122797,2646.1,66029,293
E08000022,North Tyneside,430940,570503,69163112,96232,2538.6,48660,119
E08000023,South Tyneside,435717,563346,48914187,68287,2294.2,38701,105
E08000024,Sunderland,435242,554109,90748946,122177,1994.6,71512,269
E08000025,Birmingham,408620,287849,378967196,423456,4275.4,252339,1670
E08000026,Coventry,432736,280037,114303568,134139,3500.7,73780,491
E08000027,Dudley,392753,287253,107076845,137069,3302.4,76549,256
E08000028,Sandwell,399516,290879,113147385,130246,3994.9,80856,395
E08000029,Solihull,418611,279457,71574116,89483,1212.9,44105,165
E08000030,Walsall,402370,300150,94047030,112226,2733.1,67097,316
E08000031,Wolverhampton,391927,299026,87294630,105141,3797.9,62727,314
E08000032,Bradford,409656,438737,180861379,209867,1491.2,119726,770
E08000033,Calderdale,401827,424977,68393537,90476,567.8,47251,199
E08000034,Kirklees,415745,414567,143396482,177989,1060.3,94995,469
E08000035,Leeds,432624,436701,268755450,341466,1471.7,176508,962
E08000036,Wakefield,438985,418409,116967125,153075,1043.6,84591,260
E08000037,Gateshead,420364,560133,64923664,88999,1378,49122,163
E09000001,City of London,532539,181164,2839649,4914,2975,1977,8
E09000002,Barking and Dagenham,548056,184924,72443653,73902,6065.8,46121,287
E09000003,Barnet,524095,192314,128871540,148917,4488.7,75096,668
E09000004,Bexley,548955,175730,81582563,95300,4070.7,49061,206
E09000005,Brent,520189,185924,112479758,118612,7859.6,71236,591
E09000006,Bromley,542864,165667,109226359,135827,2197.7,61608,228
E09000007,Camden,527931,184580,69554354,92759,9640.9,48677,603
