id,cohort,session,attendance
58,PG Data Sci,7,1
58,PG Data Sci,8,1
58,PG Data Sci,9,0
58,PG Data Sci,10,1
59,PG Data Sci,1,1
59,PG Data Sci,2,0
59,PG Data Sci,3,1
59,PG Data Sci,4,0
59,PG Data Sci,5,1
59,PG Data Sci,6,0
59,PG Data Sci,7,0
59,PG Data Sci,8,0
59,PG Data Sci,9,1
59,PG Data Sci,10,0
60,PG Data Sci,1,1
60,PG Data Sci,2,1
60,PG Data Sci,3,0
60,PG Data Sci,4,1
60,PG Data Sci,5,1
60,PG Data Sci,6,1
60,PG Data Sci,7,0
60,PG Data Sci,8,0
60,PG Data Sci,9,1
60,PG Data Sci,10,1
61,PG Data Sci,1,1
61,PG Data Sci,2,1
61,PG Data Sci,3,1
61,PG Data Sci,4,1
61,PG Data Sci,5,1
61,PG Data Sci,6,1
61,PG Data Sci,7,1
61,PG Data Sci,8,1
61,PG Data Sci,9,1
61,PG Data Sci,10,1
62,PG Data Sci,1,0
62,PG Data Sci,2,1
62,PG Data Sci,3,1
62,PG Data Sci,4,1
62,PG Data Sci,5,0
62,PG Data Sci,6,1
62,PG Data Sci,7,1
62,PG Data Sci,8,1
62,PG Data Sci,9,0
62,PG Data Sci,10,1
63,PG HCID,1,1
63,PG HCID,2,1
63,PG HCID,3,1
63,PG HCID,4,1
63,PG HCID,5,1
63,PG HCID,6,1
63,PG HCID,7,1
63,PG HCID,8,1
63,PG HCID,9,1
63,PG HCID,10,1
64,PG HCID,1,0
64,PG HCID,2,1
64,PG HCID,3,1
64,PG HCID,4,1
64,PG HCID,5,1
64,PG HCID,6,1
64,PG HCID,7,1
64,PG HCID,8,1
64,PG HCID,9,1
64,PG HCID,10,1
65,PG HCID,1,1
65,PG HCID,2,1
65,PG HCID,3,1
65,PG HCID,4,0
65,PG HCID,5,0
65,PG HCID,6,0
65,PG HCID,7,1
65,PG HCID,8,0
65,PG HCID,9,0
65,PG HCID,10,0
66,PG HCID,1,1
66,PG HCID,2,1
66,PG HCID,3,1
66,PG HCID,4,1
66,PG HCID,5,1
66,PG HCID,6,1
66,PG HCID,7,1
66,PG HCID,8,1
66,PG HCID,9,1
66,PG HCID,10,1
67,PG HCID,1,1
67,PG HCID,2,0
67,PG HCID,3,1
67,PG HCID,4,1
67,PG HCID,5,1
67,PG HCID,6,1
67,PG HCID,7,0
67,PG HCID,8,1
67,PG HCID,9,0
67,PG HCID,10,1
68,PG HCID,1,1
68,PG HCID,2,0
68,PG HCID,3,1
68,PG HCID,4,1
68,PG HCID,5,0
68,PG HCID,6,0
68,PG HCID,7,1
68,PG HCID,8,0
68,PG HCID,9,0
68,PG HCID,10,0
69,PG HCID,1,1
69,PG HCID,2,0
69,PG HCID,3,0
69,PG HCID,4,0
69,PG HCID,5,1
69,PG HCID,6,1
69,PG HCID,7,1
69,PG HCID,8,1
69,PG HCID,9,1
69,PG HCID,10,1
70,PG HCID,1,1
70,PG HCID,2,1
70,PG HCID,3,1
70,PG HCID,4,1
70,PG HCID,5,1
70,PG HCID,6,1
70,PG HCID,7,1
70,PG HCID,8,1
70,PG HCID,9,1
70,PG HCID,10,1
71,PG HCID,1,1
71,PG HCID,2,1
71,PG HCID,3,1
71,PG HCID,4,0
71,PG HCID,5,1
71,PG HCID,6,0
71,PG HCID,7,1
71,PG HCID,8,1
71,PG HCID,9,0
71,PG HCID,10,1
72,PG HCID,1,1
72,PG HCID,2,1
72,PG HCID,3,1
72,PG HCID,4,1
72,PG HCID,5,1
72,PG HCID,6,1
72,PG HCID,7,1
72,PG HCID,8,1
72,PG HCID,9,1
72,PG HCID,10,1
73,PG HCID,1,1
73,PG HCID,2,1
73,PG HCID,3,1
73,PG HCID,4,1
73,PG HCID,5,0
73,PG HCID,6,1
73,PG HCID,7,0
73,PG HCID,8,1
73,PG HCID,9,1
73,PG HCID,10,1
74,PG HCID,1,1
74,PG HCID,2,1
74,PG HCID,3,0
74,PG HCID,4,0
74,PG HCID,5,0
74,PG HCID,6,0
74,PG HCID,7,0
74,PG HCID,8,0
74,PG HCID,9,0
74,PG HCID,10,0
75,PG HCID,1,1
75,PG HCID,2,1
75,PG HCID,3,1
75,PG HCID,4,1
75,PG HCID,5,1
75,PG HCID,6,1
75,PG HCID,7,1
75,PG HCID,8,1
75,PG HCID,9,1
75,PG HCID,10,1
76,PG HCID,1,1
76,PG HCID,2,0
76,PG HCID,3,1
76,PG HCID,4,1
76,PG HCID,5,1
76,PG HCID,6,1
76,PG HCID,7,0
76,PG HCID,8,1
76,PG HCID,9,0
76,PG HCID,10,1
77,PG HCID,1,1
77,PG HCID,2,0
77,PG HCID,3,1
77,PG HCID,4,0
77,PG HCID,5,0
77,PG HCID,6,0
77,PG HCID,7,0
77,PG HCID,8,0
77,PG HCID,9,0
77,PG HCID,10,0
78,PG HCID,1,1
78,PG HCID,2,1
78,PG HCID,3,0
78,PG HCID,4,1
78,PG HCID,5,1
78,PG HCID,6,0
78,PG HCID,7,0
78,PG HCID,8,1
78,PG HCID,9,1
78,PG HCID,10,1
79,PG HCID,1,0
79,PG HCID,2,1
79,PG HCID,3,1
79,PG HCID,4,1
79,PG HCID,5,1
79,PG HCID,6,1
79,PG HCID,7,1
79,PG HCID,8,1
79,PG HCID,9,1
79,PG HCID,10,1
80,PG HCID,1,1
80,PG HCID,2,1
80,PG HCID,3,1
80,PG HCID,4,1
80,PG HCID,5,0
80,PG HCID,6,1
80,PG HCID,7,1
80,PG HCID,8,1
80,PG HCID,9,0
80,PG HCID,10,1
81,PG HCID,1,0
81,PG HCID,2,0
81,PG HCID,3,1
81,PG HCID,4,1
81,PG HCID,5,1
81,PG HCID,6,1
81,PG HCID,7,1
81,PG HCID,8,1
81,PG HCID,9,0
81,PG HCID,10,1
82,PG HCID,1,0
82,PG HCID,2,1
82,PG HCID,3,0
82,PG HCID,4,1
82,PG HCID,5,0
82,PG HCID,6,0
82,PG HCID,7,0
82,PG HCID,8,0
82,PG HCID,9,0
82,PG HCID,10,0
83,PG HCID,1,1
83,PG HCID,2,1
83,PG HCID,3,1
83,PG HCID,4,1
83,PG HCID,5,1
83,PG HCID,6,1
83,PG HCID,7,1
83,PG HCID,8,1
83,PG HCID,9,1
83,PG HCID,10,1
84,PG HCID,1,1
84,PG HCID,2,1
84,PG HCID,3,1
84,PG HCID,4,1
84,PG HCID,5,1
84,PG HCID,6,0
84,PG HCID,7,1
84,PG HCID,8,1
84,PG HCID,9,0
84,PG HCID,10,1
85,PG HCID,1,1
85,PG HCID,2,1
85,PG HCID,3,1
85,PG HCID,4,1
85,PG HCID,5,1
85,PG HCID,6,1
85,PG HCID,7,1
85,PG HCID,8,1
85,PG HCID,9,1
85,PG HCID,10,1
86,PG HCID,1,1
86,PG HCID,2,1
86,PG HCID,3,1
86,PG HCID,4,1
86,PG HCID,5,1
86,PG HCID,6,1
86,PG HCID,7,1
86,PG HCID,8,1
86,PG HCID,9,1
86,PG HCID,10,1
87,PG HCID,1,1
87,PG HCID,2,1
87,PG HCID,3,1
87,PG HCID,4,1
87,PG HCID,5,1
87,PG HCID,6,0
87,PG HCID,7,0
87,PG HCID,8,0
87,PG HCID,9,0
87,PG HCID,10,1
88,PG HCID,1,1
88,PG HCID,2,1
88,PG HCID,3,1
88,PG HCID,4,1
88,PG HCID,5,1
88,PG HCID,6,1
88,PG HCID,7,1
88,PG HCID,8,1
88,PG HCID,9,1
88,PG HCID,10,1
89,PG Info Sci,1,0
89,PG Info Sci,2,0
89,PG Info Sci,3,0
89,PG Info Sci,4,0
89,PG Info Sci,5,0
89,PG Info Sci,6,0
89,PG Info Sci,7,0
89,PG Info Sci,8,0
89,PG Info Sci,9,0
89,PG Info Sci,10,0
90,PG Info Sci,1,1
90,PG Info Sci,2,1
90,PG Info Sci,3,1
90,PG Info Sci,4,1
90,PG Info Sci,5,0
90,PG Info Sci,6,1
90,PG Info Sci,7,1
90,PG Info Sci,8,0
90,PG Info Sci,9,1
90,PG Info Sci,10,1
91,PG Info Sci,1,1
91,PG Info Sci,2,1
91,PG Info Sci,3,1
91,PG Info Sci,4,0
91,PG Info Sci,5,1
91,PG Info Sci,6,1
91,PG Info Sci,7,1
91,PG Info Sci,8,0
91,PG Info Sci,9,1
91,PG Info Sci,10,1
92,PG Info Sci,1,1
92,PG Info Sci,2,1
92,PG Info Sci,3,1
92,PG Info Sci,4,0
92,PG Info Sci,5,0
92,PG Info Sci,6,0
92,PG Info Sci,7,0
92,PG Info Sci,8,0
92,PG Info Sci,9,0
92,PG Info Sci,10,0
93,PG IST,1,1
93,PG IST,2,1
93,PG IST,3,1
93,PG IST,4,1
93,PG IST,5,1
93,PG IST,6,1
93,PG IST,7,1
93,PG IST,8,1
93,PG IST,9,1
93,PG IST,10,1
94,PG SE,1,1
94,PG SE,2,1
94,PG SE,3,1
94,PG SE,4,0
94,PG SE,5,1
94,PG SE,6,1
94,PG SE,7,1
94,PG SE,8,1
94,PG SE,9,0
94,PG SE,10,1
95,PG SE,1,1
95,PG SE,2,1
95,PG SE,3,1
95,PG SE,4,0
95,PG SE,5,1
95,PG SE,6,1
95,PG SE,7,1
95,PG SE,8,1
95,PG SE,9,0
95,PG SE,10,1
96,PG SE,1,1
96,PG SE,2,0
96,PG SE,3,0
96,PG SE,4,0
96,PG SE,5,0
96,PG SE,6,0
96,PG SE,7,0
96,PG SE,8,0
96,PG SE,9,0
96,PG SE,10,0
97,PG SE,1,1
97,PG SE,2,1
97,PG SE,3,1
97,PG SE,4,1
97,PG SE,5,1
97,PG SE,6,1
97,PG SE,7,1
97,PG SE,8,1
97,PG SE,9,0
97,PG SE,10,1
98,PG SE,1,1
98,PG SE,2,1
98,PG SE,3,1
98,PG SE,4,1
98,PG SE,5,1
98,PG SE,6,1
98,PG SE,7,1
98,PG SE,8,1
98,PG SE,9,1
98,PG SE,10,1
99,UG,1,1
99,UG,2,1
99,UG,3,1
99,UG,4,0
99,UG,5,0
99,UG,6,1
99,UG,7,0
99,UG,8,0
99,UG,9,0
99,UG,10,0
100,UG,1,1
100,UG,2,0
100,UG,3,1
100,UG,4,0
100,UG,5,0
100,UG,6,0
100,UG,7,0
100,UG,8,1
100,UG,9,0
100,UG,10,0
101,UG,1,1
101,UG,2,0
101,UG,3,0
101,UG,4,0
101,UG,5,0
101,UG,6,0
101,UG,7,0
101,UG,8,0
101,UG,9,0
101,UG,10,0
102,UG,1,1
102,UG,2,1
102,UG,3,1
102,UG,4,1
102,UG,5,1
102,UG,6,0
102,UG,7,0
102,UG,8,0
102,UG,9,0
102,UG,10,1
103,UG,1,1
103,UG,2,1
103,UG,3,0
103,UG,4,0
103,UG,5,0
103,UG,6,0
103,UG,7,0
103,UG,8,0
103,UG,9,0
103,UG,10,0
104,UG,1,1
104,UG,2,1
104,UG,3,1
104,UG,4,1
104,UG,5,1
104,UG,6,1
104,UG,7,0
104,UG,8,1
104,UG,9,0
104,UG,10,1
105,UG,1,1
105,UG,2,0
105,UG,3,0
105,UG,4,0
105,UG,5,0
105,UG,6,0
105,UG,7,0
105,UG,8,0
