decade,cName,hex,hue,sat,lum,hueX,hueY,perc
2000s,Bright Light Orange,#fcac00,41,1.00,0.49,0.66,0.75,0.0553
2000s,Chrome Gold,#dfc176,43,0.62,0.67,0.68,0.73,0.0549
2000s,Light Flesh,#ffc995,29,1.00,0.79,0.48,0.87,0.0512
2000s,Trans-Purple,#9c95c7,248,0.31,0.68,-0.93,-0.37,0.0466
2000s,Bright Pink,#ff9ecd,331,1.00,0.81,-0.48,0.87,0.0454
2000s,Trans-Pink,#eca3c9,329,0.66,0.78,-0.52,0.86,0.043
2000s,Medium Orange,#f58624,28,0.91,0.55,0.47,0.88,0.0413
2000s,Magenta,#901f76,314,0.65,0.34,-0.72,0.69,0.0377
2000s,Copper,#764d3b,18,0.33,0.35,0.31,0.95,0.0363
2000s,Very Light Bluish Gray,#c8c8c8,0,0.00,0.78,0.00,1.00,0.0347
2000s,Metallic Gold,#dfc176,43,0.62,0.67,0.68,0.73,0.0332
2000s,Blue-Violet,#5484d6,218,0.61,0.58,-0.62,-0.79,0.0327
2000s,Aqua,#2efafd,181,0.98,0.59,-0.02,-1.00,0.0324
2000s,Pink,#f6a9bb,346,0.81,0.81,-0.24,0.97,0.0276
2000s,Trans-Very Lt Blue,#acd4de,192,0.43,0.77,-0.21,-0.98,0.0243
2000s,Speckle Black-Silver,#36353b,250,0.05,0.22,-0.94,-0.34,0.024
2000s,Light Yellow,#ffd67f,41,1.00,0.75,0.66,0.75,0.023
2000s,Glitter Trans-Dark Pink,#cd9ab1,333,0.34,0.70,-0.45,0.89,0.0216
2000s,Glow In Dark Opaque,#e5dfd3,40,0.26,0.86,0.64,0.77,0.0216
2000s,Dark Flesh,#7b5d41,29,0.31,0.37,0.48,0.87,0.0203
2000s,Trans-Bright Green,#c9e788,79,0.66,0.72,0.98,0.19,0.0188
2000s,Metal Blue,#5b7590,211,0.23,0.46,-0.52,-0.86,0.0175
2000s,Violet,#b26ce9,274,0.74,0.67,-1.00,0.07,0.017
2000s,Medium Lime,#b7d425,70,0.70,0.49,0.94,0.34,0.0157
2000s,Flat Dark Gold,#83724f,40,0.25,0.41,0.64,0.77,0.0119
2000s,Medium Green,#7fc475,112,0.40,0.61,0.93,-0.37,0.0102
2000s,Sand Purple,#75657D,280,0.11,0.44,-0.98,0.17,0.0091
2000s,Earth Orange,#d86d2c,23,0.69,0.51,0.39,0.92,0.0078
2000s,Light Blue,#97cbd9,193,0.46,0.72,-0.22,-0.97,0.0078
2000s,Glow In Dark Trans,#d5dc8a,65,0.54,0.70,0.91,0.42,0.0071
2000s,Light Green,#add9a8,114,0.39,0.75,0.91,-0.41,0.0063
2000s,Sky Blue,#77c9d8,189,0.55,0.66,-0.16,-0.99,0.0059
2000s,Chrome Blue,#4b6e8e,209,0.31,0.43,-0.48,-0.87,0.0056
2000s,Pearl White,#f6f2df,50,0.56,0.92,0.77,0.64,0.0055
2000s,Chrome Pink,#efb4ee,301,0.65,0.82,-0.86,0.52,0.0053
2000s,Pearl Light Gold,#deac66,35,0.65,0.64,0.57,0.82,0.005
2000s,Chrome Antique Brass,#c1b290,42,0.28,0.66,0.67,0.74,0.0046
2000s,Trans-Light Purple,#e0d0e5,286,0.29,0.86,-0.96,0.28,0.0046
2000s,Metallic Green,#01925a,157,0.99,0.29,0.39,-0.92,0.0043
2000s,Flesh,#bb805a,24,0.42,0.54,0.41,0.91,0.0043
2000s,Light Salmon,#f9b7a5,13,0.87,0.81,0.22,0.97,0.0038
2000s,Light Orange,#f89a39,30,0.93,0.60,0.50,0.87,0.0038
2000s,Bright Light Yellow,#ffec6c,52,1.00,0.71,0.79,0.62,0.0038
2000s,Bright Light Blue,#9dc3f7,215,0.85,0.79,-0.57,-0.82,0.0035
