id,year,title,artist,theme,spotifyUrl
30,1950,My Son Calls Another Man Daddy,Hank Williams,Life and death,http://open.spotify.com/track/5wZhj1LcXztboIh3T1VgMw
31,1950,Rank Stranger,The Stanley Brothers,People and places,http://open.spotify.com/track/1AkjPhgexQuQkeJpB3sS5E
32,1951,"Cold, Cold Heart",Hank Williams,Heartbreak,http://open.spotify.com/track/56KLeNPhvXXyXGQ9TEYDCC
33,1951,Rocket 88,Jackie Brenston and His Delta Cats,People and places,http://open.spotify.com/track/2D4CW43Ewl0UZvrn9E2bo3
34,1951,London is the Place For Me,Lord Kitchener,People and places,
35,1952,Mad About the Boy,Dinah Washington,Love,http://open.spotify.com/track/3q393Yh4k0cu2wlTgyiW4v
36,1953,Diamonds Are a Girl’s Best Friend,Marilyn Monroe,People and places,http://open.spotify.com/track/0wxF2Ia8RldcEHSlEope7i
37,1954,Hernando’s Hideaway,Archie Bleyer,People and places,http://open.spotify.com/track/5l14z1uDc6xwMohyYuhOfM
38,1954,"Shake, Rattle and Roll",Big Joe Turner,Sex,http://open.spotify.com/track/7aLoa1F3EoM8AeC6Ao1RKz
39,1954,I Got a Woman,Ray Charles,Love,http://open.spotify.com/track/2xar08Fq5xra2KKZs5Bw9j
40,1954,Riot in Cell Block #9,The Coasters,People and places,http://open.spotify.com/track/5Hl3bPQuASTEb4t3GxhlkI
41,1955,Love and Marriage,Frank Sinatra,Love,http://open.spotify.com/track/16y88kDkX8kgzFHMnXr33D
42,1955,Folsom Prison Blues,Johnny Cash,People and places,http://open.spotify.com/track/7BuR7aWjwtMnejLYeh8FZk
43,1955,Tutti Frutti,Little Richard,Sex,http://open.spotify.com/track/17nFSc5cJ3AHKt7qsGFtsz
44,1956,Ev’ry Time We Say Goodbye,Ella Fitzgerald,Love,http://open.spotify.com/track/50KK7LxalUrWPtZxlhBJhn
45,1956,Heartbreak Hotel,Elvis Presley,People and places,http://open.spotify.com/track/4YpAvti84hmMqJwnAYawt5
46,1956,Love Me Tender,Elvis Presley,Love,http://open.spotify.com/track/65An7RQuVbAipQIYhJu0YJ
47,1956,Blueberry Hill,Fats Domino,Love,http://open.spotify.com/track/25CTJ7xIrrWTHNtA7mq8Y6
48,1956,I Walk the Line,Johnny Cash,Love,http://open.spotify.com/track/7wJepIHVDC88KzSyzNU1mA
49,1956,Lonely Avenue,Ray Charles,People and places,http://open.spotify.com/track/43mBBdRU6GfinobxcDyufp
50,1956,Domino,Roy Orbison,People and places,http://open.spotify.com/track/12NYyFxVvXaa8XIZEErs2D
51,1956,Kentucky,The Louvin Brothers,People and places,http://open.spotify.com/track/15GmkMpAv2Q3txQLW2c1nZ
52,1956,Why Do Fools Fall in Love?,The Teenagers featuring Frankie Lymon,Love,http://open.spotify.com/track/2xKfXRhw5xaUXfevJJspZf
53,1957,Whole Lotta Shakin’ Goin’ On,Jerry Lee Lewis,Sex,http://open.spotify.com/track/3VIQihiCjAPP22iG0z0iJ9
54,1957,That’ll Be the Day,The Crickets,Life and death,http://open.spotify.com/track/1EsziXsEVchm2bueFMIzax
55,1957,Fujiyama Mama,Wanda Jackson,Sex,http://open.spotify.com/track/56xQ4YLqsIZ4Kc6R3WEHAx
56,1958,Please Give Me Something,Bill Allen and the Backbeats,Heartbreak,http://open.spotify.com/track/66auDFwg9lKmIYGQzEwHn5
57,1958,Johnny B Goode,Chuck Berry,People and places,http://open.spotify.com/track/78gvEiVlnMd1f5adOHjJxP
58,1958,Sweet Little Sixteen,Chuck Berry,Love,http://open.spotify.com/track/1fDfWFb1YmdRWu5JZ9yANo
59,1958,C’mon Everybody,Eddie Cochran,Life and death,http://open.spotify.com/track/1q2JUOBJqs0ezWvf0Rkm4f
60,1958,Only the Lonely,Frank Sinatra,Heartbreak,http://open.spotify.com/track/3il33mhbtAFCpdBNvNyymr
61,1958,Stagger Lee,Lloyd Price,Life and death,http://open.spotify.com/track/3CrbWMJbTlI9T4pB7p5J35
62,1959,I’ll Take Care of You,Bobby “Blue” Bland,Love,http://open.spotify.com/track/5vUitXO0fTxxS293NR51jA
63,1959,Beyond the Sea,Bobby Darin,People and places,http://open.spotify.com/track/1xeEkk0av46GZ4Ztq1dUEM
64,1959,Mack the Knife ,Bobby Darin,People and places,http://open.spotify.com/track/35hKX7JI7gvQ0oKna8895l
65,1959,"Memphis, Tennessee",Chuck Berry,People and places,http://open.spotify.com/track/289AKX6diQ7eCcvJLb5pC3
66,1959,Summertime,Ella Fitzgerald,Life and death,http://open.spotify.com/track/6igoGVFPInRBwkf4YawNRu
67,1959,The Gnu,Flanders and Swann,Party songs,http://open.spotify.com/track/52HRCPyzVqut2PK1IglGje
68,1959,I Still Miss Someone,Johnny Cash,Heartbreak,http://open.spotify.com/track/17ULcItopPiilP1gIPrJvR
69,1959,That Old Black Magic,Louis Prima and Keely Smith ,Love,http://open.spotify.com/track/0e7LFGPufvU4ITix9vNSuc
70,1959,Teen Angel,Mark Dinning,Life and death,
71,1959,Knoxville Girl,The Louvin Brothers,Life and death,http://open.spotify.com/track/4MEyZH8XHQUd0vieDbOa6O
72,1960,Roadrunner,Bo Diddley,People and places,http://open.spotify.com/track/0D98Qv08oIWYoSgVigHy9a
73,1960,A Teenager in Love,Dion & the Belmonts,Love,http://open.spotify.com/track/17iHLt9yQLLeBN3g1woXzB
74,1960,The Ballad of Sharpeville,Ewan MacColl,Politics and protest,
75,1960,Georgia on My Mind,Ray Charles,People and places,http://open.spotify.com/track/5pnvs9jplQQE7uxdyHhTta
76,1960,Chain Gang,Sam Cooke,People and places,http://open.spotify.com/track/2v3StB7FS2bUZNSWWInRN7
77,1961,Spanish Harlem,Ben E King,People and places,http://open.spotify.com/track/3UCmuRdeTriWgOZMEJsfqZ
78,1961,Stand By Me,Ben E King,Love,http://open.spotify.com/track/2FVHVmsUOyNnhlwtFLjoMF
79,1961,The Wanderer,Dion,People and places,http://open.spotify.com/track/0tk8p69r1Ed2OuqiXxHdAQ
80,1961,So What (Miles),Eddie Jefferson,People and places,http://open.spotify.com/track/0PCrDhGtjxU660QHLUHYYc
81,1961,Can’t Help Falling in Love,Elvis Presley,Love,http://open.spotify.com/track/3Aw5RpV5q1zn66ck2jOQjs
82,1961,I Just Want to Make Love to You,Etta James,Sex,http://open.spotify.com/track/7A96l8P8UmFPhdu7pQ8SMe
83,1961,"Bright Lights, Big City",Jimmy Reed,People and places,http://open.spotify.com/track/3uNEUuL8U3RqHVyhiuD6DY
84,1961,My Favorite Things,John Coltrane Quartet,Life and death,http://open.spotify.com/track/5bKWHp2AY6aMtYMBVBL21F
