week,qType,rank,question,relFreq
2020-01-26,when,1,When will lockdown end?,0
2020-02-02,when,1,When will lockdown end?,0
2020-02-09,when,1,When will lockdown end?,0
2020-02-16,when,1,When will lockdown end?,0
2020-02-23,when,1,When will lockdown end?,0
2020-03-01,when,1,When will lockdown end?,0
2020-03-08,when,1,When will lockdown end?,1
2020-03-15,when,1,When will lockdown end?,2
2020-03-22,when,1,When will lockdown end?,14
2020-03-29,when,1,When will lockdown end?,41
2020-04-05,when,1,When will lockdown end?,74
2020-04-12,when,1,When will lockdown end?,92
2020-04-19,when,1,When will lockdown end?,81
2020-04-26,when,1,When will lockdown end?,100
2020-05-03,when,1,When will lockdown end?,73
2020-05-10,when,1,When will lockdown end?,21
2020-05-17,when,1,When will lockdown end?,22
2020-05-24,when,1,When will lockdown end?,22
2020-05-31,when,1,When will lockdown end?,10
2020-06-07,when,1,When will lockdown end?,13
2020-06-14,when,1,When will lockdown end?,8
2020-06-21,when,1,When will lockdown end?,8
2020-06-28,when,1,When will lockdown end?,6
2020-07-05,when,1,When will lockdown end?,5
2020-07-12,when,1,When will lockdown end?,3
2020-07-19,when,1,When will lockdown end?,1
2020-07-26,when,1,When will lockdown end?,1
2020-08-02,when,1,When will lockdown end?,1
2020-08-09,when,1,When will lockdown end?,2
2020-08-16,when,1,When will lockdown end?,2
2020-08-23,when,1,When will lockdown end?,1
2020-08-30,when,1,When will lockdown end?,1
2020-09-06,when,1,When will lockdown end?,0.22
2020-09-13,when,1,When will lockdown end?,1
2020-09-20,when,1,When will lockdown end?,2
2020-09-27,when,1,When will lockdown end?,1
2020-10-04,when,1,When will lockdown end?,3
2020-10-11,when,1,When will lockdown end?,1
2020-10-18,when,1,When will lockdown end?,1
2020-10-25,when,1,When will lockdown end?,1
2020-11-01,when,1,When will lockdown end?,7
2020-11-08,when,1,When will lockdown end?,7
2020-11-15,when,1,When will lockdown end?,13
2020-11-22,when,1,When will lockdown end?,10
2020-11-29,when,1,When will lockdown end?,6
2020-12-06,when,1,When will lockdown end?,2
2020-12-13,when,1,When will lockdown end?,3
2020-12-20,when,1,When will lockdown end?,7
2020-01-05,when,2,When will gyms reopen?,0
2020-01-12,when,2,When will gyms reopen?,0
2020-01-19,when,2,When will gyms reopen?,0
2020-01-26,when,2,When will gyms reopen?,0
2020-02-02,when,2,When will gyms reopen?,0
2020-02-09,when,2,When will gyms reopen?,0
2020-02-16,when,2,When will gyms reopen?,0
2020-02-23,when,2,When will gyms reopen?,0
2020-03-01,when,2,When will gyms reopen?,0
2020-03-08,when,2,When will gyms reopen?,0
2020-03-15,when,2,When will gyms reopen?,2
2020-03-22,when,2,When will gyms reopen?,4
2020-03-29,when,2,When will gyms reopen?,5
2020-04-05,when,2,When will gyms reopen?,1
2020-04-12,when,2,When will gyms reopen?,8
2020-04-19,when,2,When will gyms reopen?,20
2020-04-26,when,2,When will gyms reopen?,18
2020-05-03,when,2,When will gyms reopen?,32
2020-05-10,when,2,When will gyms reopen?,31
2020-05-17,when,2,When will gyms reopen?,31
2020-05-24,when,2,When will gyms reopen?,67
2020-05-31,when,2,When will gyms reopen?,68
2020-06-07,when,2,When will gyms reopen?,72
2020-06-14,when,2,When will gyms reopen?,82
2020-06-21,when,2,When will gyms reopen?,82
2020-06-28,when,2,When will gyms reopen?,69
2020-07-05,when,2,When will gyms reopen?,100
2020-07-12,when,2,When will gyms reopen?,11
2020-07-19,when,2,When will gyms reopen?,13
2020-07-26,when,2,When will gyms reopen?,7
2020-08-02,when,2,When will gyms reopen?,2
2020-08-09,when,2,When will gyms reopen?,1
2020-08-16,when,2,When will gyms reopen?,2
2020-08-23,when,2,When will gyms reopen?,1
2020-08-30,when,2,When will gyms reopen?,3
2020-09-06,when,2,When will gyms reopen?,2
2020-09-13,when,2,When will gyms reopen?,1
2020-09-20,when,2,When will gyms reopen?,1
2020-09-27,when,2,When will gyms reopen?,0
2020-10-04,when,2,When will gyms reopen?,1
2020-10-11,when,2,When will gyms reopen?,2
2020-10-18,when,2,When will gyms reopen?,2
2020-10-25,when,2,When will gyms reopen?,0
2020-11-01,when,2,When will gyms reopen?,0
2020-11-08,when,2,When will gyms reopen?,2
2020-11-15,when,2,When will gyms reopen?,4
2020-11-22,when,2,When will gyms reopen?,4
2020-11-29,when,2,When will gyms reopen?,2
2020-12-06,when,2,When will gyms reopen?,0
2020-12-13,when,2,When will gyms reopen?,1
2020-12-20,when,2,When will gyms reopen?,2
2020-01-05,when,3,When does lockdown start?,0
2020-01-12,when,3,When does lockdown start?,0
2020-01-19,when,3,When does lockdown start?,0
2020-01-26,when,3,When does lockdown start?,0
2020-02-02,when,3,When does lockdown start?,0
2020-02-09,when,3,When does lockdown start?,0
2020-02-16,when,3,When does lockdown start?,0
2020-02-23,when,3,When does lockdown start?,0
2020-03-01,when,3,When does lockdown start?,0
2020-03-08,when,3,When does lockdown start?,0.31
2020-03-15,when,3,When does lockdown start?,1
2020-03-22,when,3,When does lockdown start?,7
2020-03-29,when,3,When does lockdown start?,1
2020-04-05,when,3,When does lockdown start?,1
2020-04-12,when,3,When does lockdown start?,1
2020-04-19,when,3,When does lockdown start?,1
2020-04-26,when,3,When does lockdown start?,1
2020-05-03,when,3,When does lockdown start?,1
2020-05-10,when,3,When does lockdown start?,0.52
2020-05-17,when,3,When does lockdown start?,0.57
2020-05-24,when,3,When does lockdown start?,1
2020-05-31,when,3,When does lockdown start?,0.30
2020-06-07,when,3,When does lockdown start?,0.53
