id,sGroup,sTime,Villaines,Fougeres,Tinteniac,Loudeac,St Nicolas,Carhaix,Brest,Carhaix2,Loudeac2,Tinteniac2,Fougeres2,Villaines2,Mortagne,Dreux,Guyancourt
L091,90h,2015-08-16T18:31Z,40242,60276,73017,96139,112278,122083,144154,165275,185721,214478,228033,251759,270875,291192,310613
M125,90h,2015-08-16T18:47Z,36074,60604,70191,96221,110625,130585,149035,171690,191477,220143,233226,254755,268912,289189,310617
M182,90h,2015-08-16T18:47Z,36071,60604,70190,96219,110644,130563,149018,171695,191478,220144,233224,254755,268910,289174,310617
M181,90h,2015-08-16T18:47Z,36076,60603,70187,96219,110655,130577,149035,171691,191483,220144,233198,254757,268910,289179,310621
F107,90h,2015-08-16T17:17Z,35360,52843,65512,85977,97859,104619,143242,163990,183976,204178,231360,253779,271100,291929,310627
F106,90h,2015-08-16T17:17Z,35361,52840,65507,85971,97854,104615,143241,163990,183970,204177,231359,253778,271085,291929,310628
M328,90h,2015-08-16T18:45Z,37109,53340,64708,99544,110739,117684,138368,160091,179580,217923,231346,251997,273599,296679,310640
K294,90h,2015-08-16T18:32Z,39487,59225,68767,85827,112563,120596,141477,160751,181195,214887,228201,247779,266083,294742,310644
G056,90h,2015-08-16T17:31Z,34027,53185,66547,92581,106442,116624,152010,173427,194441,221207,232230,253043,270989,288542,310649
L308,90h,2015-08-16T18:32Z,39998,59258,68811,85823,112637,120608,141541,160751,181190,214915,228199,247780,266075,294739,310650
K246,90h,2015-08-16T18:16Z,37645,56355,66832,85647,99082,105982,139705,160107,182231,213970,227325,247368,268225,287088,310684
T039,90h,2015-08-16T20:02Z,36242,54137,64878,81123,113839,120814,139393,160614,174820,194029,222734,241444,258549,275821,310712
L265,90h,2015-08-16T18:31Z,41892,65876,80513,98986,110733,126444,147911,171421,190239,227900,239915,258464,275884,298604,310718
S225,90h,2015-08-16T19:46Z,36068,53452,63233,82370,95190,121254,136702,156042,173850,207103,218381,240193,257618,294720,310722
L231,90h,2015-08-16T18:31Z,35496,55023,69514,87111,99813,114246,135921,159891,181324,206881,225508,247970,267535,292638,310724
K122,90h,2015-08-16T18:16Z,35581,54471,65975,82481,101345,108112,131778,157444,178440,210474,225241,245693,266402,292253,310737
L135,90h,2015-08-16T18:32Z,38824,60925,72507,90288,102422,120863,141049,165864,184949,205854,227436,248544,265484,291445,310740
L113,90h,2015-08-16T18:32Z,38840,60930,72517,90293,102442,120863,141048,165866,184951,205853,227439,248547,265489,291115,310743
R186,90h,2015-08-16T19:31Z,38274,55053,66539,85381,98296,117896,134559,158921,176579,214076,226651,251255,270685,294517,310765
N238,90h,2015-08-16T19:00Z,32708,51662,61745,81786,92622,104306,135816,150541,168380,183344,223791,239401,256548,272406,310767
R075,90h,2015-08-16T19:31Z,39722,59446,70310,93983,123227,129829,149161,165867,188698,224471,233887,254832,270226,292523,310806
F181,90h,2015-08-16T17:17Z,33056,47397,58519,81760,91880,97360,133730,154876,178053,213036,224281,244615,273349,296505,310812
K095,90h,2015-08-16T18:16Z,35572,56338,70023,85468,102694,110760,149161,167944,185190,222091,233865,252463,268846,286542,310823
R252,90h,2015-08-16T19:31Z,39712,62501,79267,98490,110433,120695,138508,160395,186240,212890,224985,249729,271939,296123,310827
R160,90h,2015-08-16T19:31Z,38328,57104,71761,88486,100654,107772,141045,166830,186034,217221,235391,254826,270161,297742,310866
S153,90h,2015-08-16T19:47Z,35993,59252,68380,87123,110735,119797,140799,160899,177930,207803,220705,244413,267246,291262,310867
R159,90h,2015-08-16T19:31Z,38356,57102,71765,88494,100722,107782,141045,161359,186042,217225,235485,254875,270160,297761,310869
S314,90h,2015-08-16T19:47Z,44231,62900,79577,98232,115708,123962,143410,165297,187105,211570,224144,245803,265557,292544,310892
