code,geography,catgory,value
E06000054,LA,3,417
E06000054,LA,4,53246
E06000054,LA,5,2086
E06000054,LA,6,81256
E06000054,LA,7,3296
E06000054,LA,8,7062
E06000054,LA,9,28015
E06000054,LA,10,23975
E06000055,LA,-8,37014
E06000055,LA,1,65446
E06000055,LA,2,398
E06000055,LA,3,176
E06000055,LA,4,19575
E06000055,LA,5,875
E06000055,LA,6,36914
E06000055,LA,7,2131
E06000055,LA,8,2848
E06000055,LA,9,9715
E06000055,LA,10,7773
E06000056,LA,-8,57487
E06000056,LA,1,113797
E06000056,LA,2,706
E06000056,LA,3,271
E06000056,LA,4,35686
E06000056,LA,5,1192
E06000056,LA,6,50181
E06000056,LA,7,1852
E06000056,LA,8,4143
E06000056,LA,9,14486
E06000056,LA,10,11983
E06000057,LA,-8,51640
E06000057,LA,1,128715
E06000057,LA,2,792
E06000057,LA,3,153
E06000057,LA,4,33308
E06000057,LA,5,1280
E06000057,LA,6,55812
E06000057,LA,7,1684
E06000057,LA,8,5627
E06000057,LA,9,18515
E06000057,LA,10,18576
E06000058,LA,-8,65029
E06000058,LA,1,138085
E06000058,LA,2,1702
E06000058,LA,3,312
E06000058,LA,4,44633
E06000058,LA,5,2546
E06000058,LA,6,83085
E06000058,LA,7,3132
E06000058,LA,8,5602
E06000058,LA,9,25903
E06000058,LA,10,19636
E06000059,LA,-8,56567
E06000059,LA,1,160643
E06000059,LA,2,1068
E06000059,LA,3,282
E06000059,LA,4,39182
E06000059,LA,5,1588
E06000059,LA,6,58478
E06000059,LA,7,2621
E06000059,LA,8,5185
E06000059,LA,9,22937
E06000059,LA,10,23186
E06000060,LA,-8,108909
E06000060,LA,1,223021
E06000060,LA,2,1074
E06000060,LA,3,502
E06000060,LA,4,51652
E06000060,LA,5,2075
E06000060,LA,6,96368
E06000060,LA,7,5660
E06000060,LA,8,6866
E06000060,LA,9,26037
E06000060,LA,10,23632
E06000061,LA,-8,69830
E06000061,LA,1,128275
E06000061,LA,2,805
E06000061,LA,3,312
E06000061,LA,4,45972
E06000061,LA,5,1712
E06000061,LA,6,65410
E06000061,LA,7,2950
E06000061,LA,8,5910
E06000061,LA,9,19462
E06000061,LA,10,15458
E06000062,LA,-8,82046
E06000062,LA,1,154245
E06000062,LA,2,992
